,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,7129300520,2014-10-13 00:00:00+00:00,221900.0,3.0,1.0,1180.0,5650.0,1.0,0,0,3,7.0,1180.0,0.0,1955.0,0.0,98178,47.51123398,-122.25677536,1340.0,5650.0
1,6414100192,2014-12-09 00:00:00+00:00,538000.0,3.0,2.25,2570.0,7242.0,2.0,0,0,3,7.0,2170.0,400.0,1951.0,1991.0,98125,47.72102274,-122.3188624,1690.0,7639.0
2,5631500400,2015-02-25 00:00:00+00:00,180000.0,2.0,1.0,770.0,10000.0,1.0,0,0,3,6.0,770.0,0.0,1933.0,0.0,98028,47.73792661,-122.23319601,2720.0,8062.0
3,2487200875,2014-12-09 00:00:00+00:00,604000.0,4.0,3.0,1960.0,5000.0,1.0,0,0,5,7.0,1050.0,910.0,1965.0,0.0,98136,47.52082,-122.39318505,1360.0,5000.0
4,1954400510,2015-02-18 00:00:00+00:00,510000.0,3.0,2.0,1680.0,8080.0,1.0,0,0,3,8.0,1680.0,0.0,1987.0,0.0,98074,47.61681228,-122.04490059,1800.0,7503.0
5,7237550310,2014-05-12 00:00:00+00:00,1225000.0,4.0,4.5,5420.0,101930.0,1.0,0,0,3,11.0,3890.0,1530.0,2001.0,0.0,98053,47.65611835,-122.00528655,4760.0,101930.0
6,1321400060,2014-06-27 00:00:00+00:00,257500.0,3.0,2.25,1715.0,6819.0,2.0,0,0,3,7.0,1715.0,0.0,1995.0,0.0,98003,47.30972002,-122.32704857,2238.0,6819.0
7,2008000270,2015-01-15 00:00:00+00:00,291850.0,3.0,1.5,1060.0,9711.0,1.0,0,0,3,7.0,1060.0,0.0,1963.0,0.0,98198,47.40949984,-122.31457273,1650.0,9711.0
8,2414600126,2015-04-15 00:00:00+00:00,229500.0,3.0,1.0,1780.0,7470.0,1.0,0,0,3,7.0,1050.0,730.0,1960.0,0.0,98146,47.51229381,-122.33659507,1780.0,8113.0
9,3793500160,2015-03-12 00:00:00+00:00,323000.0,3.0,2.5,1890.0,6560.0,2.0,0,0,3,7.0,1890.0,0.0,2003.0,0.0,98038,47.36840673,-122.0308176,2390.0,7570.0
10,1736800520,2015-04-03 00:00:00+00:00,662500.0,3.0,2.5,3560.0,9796.0,1.0,0,0,3,8.0,1860.0,1700.0,1965.0,0.0,98007,47.60065993,-122.14529566,2210.0,8925.0
11,9212900260,2014-05-27 00:00:00+00:00,468000.0,2.0,1.0,1160.0,6000.0,1.0,0,0,4,7.0,860.0,300.0,1942.0,0.0,98115,47.69003563,-122.29230366,1330.0,6000.0
12,0114101516,2014-05-28 00:00:00+00:00,310000.0,3.0,1.0,1430.0,19901.0,1.5,0,0,4,7.0,1430.0,0.0,1927.0,0.0,98028,47.75584254,-122.22874498,1780.0,12697.0
13,6054650070,2014-10-07 00:00:00+00:00,400000.0,3.0,1.75,1370.0,9680.0,1.0,0,0,4,7.0,1370.0,0.0,1977.0,0.0,98074,47.61269607,-122.0447632,1370.0,10208.0
